skill_raw;observations;skill_normalized;possible_domains;possible_fields;type_of_skill;too_generic
Pipeline Operations;a pipeline could be both a real hydraulic pipeline and an informational one;Pipeline Operations;Hydraulic Engineering, Information Technology;Engineering, Information Technology;Hard;0
Data Room;most data rooms nowadays are just pieces of software, physical data rooms are extremely rare;Data Room;Data Management;Information Technology;Hard;0
WordPress;WordPress is a web development tool;WordPress;Web Development;Information Technology;Hard;0
job advertisements; this skill has two parts, marketing and HR;Recruitment Advertising;Recruitment, Advertising;Human Resources, Marketing;Soft;0
2ε;difficult skill to normalize, since 2ε is a version of LaTeX we will normalize it in that way;LaTeX;Markup Language;Information Technology;Hard;0
employment practices;the knowledge of labor law;Labor Law Knowledge;Labor Law;Human Resources;Soft;0
ability to lead and supervise a team of technicians; the ability to lead a team;Team Leadership;Team Management;Human Resources;Soft;0
SOP’s;SOP is an acronym, that probability stands for Standard Operating Procedures;Standard Operating Procedures;Business Management;Business Management;Soft;0
A&H;A&H is an acronym that stands for Allen & Heath, a company that produces audio mixing equipment;Mixing consoles;Audio Equipment;Miusic;Hard;0
Hilfsassistentin - Institute of Marketing and Business Management;Hilfsassistentin is a German word that stands for assistant;Assistant;Business Management;Business Management;Soft;0
Vendite;Vendite is an Italian word that stands for sales;Sales;Sales;Sales;Soft;0
Stochastic Modelling;Stochastic Modelling is a statistical skill;Stochastic Modelling;Statistics;Mathematics;Hard;0
plant startup and shutdown;this probably refers to experience in the startup and shutdown of industrial plants;Plant Startup and Shutdown;Plant Operations;Operations Management;Hard;0
patent offices;this skill probably refers to the knowledge of patent law;Patent Law;Intellectual Property and Copyright Law;Legal;0
results driven;too generic;Result Driven;Mental Skills;Personal Skills;Soft;1
Technical Report Writing;the ability to write technical reports is a form of comunication;Technical Report Writing;Written Communication;Communication;Soft;0
Patent Law;Patent Law is a legal skill;Patent Law;Intellectual Property and Copyright Law;Legal;0
professional ethics;too generic;Professional Ethics;Mental Skills;Personal Skills;Soft;1
written communication;this skill is a form of communication;Written Communication;Written Communication;Communication;Soft;0
computer software;too generic, but is related to informatics;Computer Software;Computer Skills;Information Technology;Hard;1
goal orientation;too generic;Result Driven;Mental Skills;Personal Skills;Soft;1
ReSharper;ReSharper is a visual studio extesion for software development;ReSharper;Software Development;Information Technology;Hard;0
63 Licenses;the Series 63 is a securities exam and license;Series 63;Financial Securities;Financial Services;Hard;0
lift 50 lbs. on a daily continuous basis;a physical skill;Physical Strenght;Physical Skills;Personal Skills;Hard;0
production supervisor;this is the ability to supervise a production line;Production Supervision;Production Management;Operations Management;Soft;0
asset protection;the ability to protect financial assets;Asset Protection;Financial Security;Financial Services;Soft;0
customer-first mindset;Prioritizazion
Strong communication and interpersonal skills to courteously interact with customers and colleagues on a daily basis;Customer Support
Startup Consulting;Consultancy
JSON;JavaScript
billing experience;Accounting
IT enhancement;IT Operations & Management
project research;Project Management
Adobe XD;Adobe XD
Japanese language;Japanese
motor vehicle;Automotives
SAP Database Administration;SAP
balance sheet reconciliations;Accounting
IT Standards;IT Operations & Management
SQL;SQL
electric mobility;Energy Management
sustainability strategy;Sustainability
competency adoption;Business Analysis
Web Server;Web Development
Stock Returns;Financial Services
excellent communication;Communication
VAT Analysis;Accounting
regulations compliance;Workplace Policy Conduct
finance processes;Accounting
surveying engineering;Data Analysis
managerial culture;Management
Gradle;Software Development
Geothermal;Energy Management
Instrumentation;Process Management
physical screening;Medical Advice
News;Typography
technology/analytics passion;Data Analytics
msexcel;Microsoft Excel
pipeline management;Software Development
Cloudera;SQL
Human Capital Management;Talent Acquisition and Recruitment
proficiency with technical resources;Operations Management
purchase orders;Budgeting
supervisor;SCADA
security systems;Security Protocols
reconciliation;People Management
job safety analysis (JSA);Health and Safety
multi-skilled maintenance;Multitasking
Manga;Comics Editing
Barcodes;Product Management
Residential Truck Driver;Rigid Vehicles
Transition;Procurement
Transportation Trends;Operations Management
on-call and weekends;Flexibility
client complaint resolution;Customer Support
Attention to detail and ability to continuously monitor waste for evidence of unacceptable waste;Waste Management
product performance monitoring;Performance Analysis
mechanical maintenance;Maintenance
Contractors;Business Process
knowledge of electrical distribution and control systems;Electrical Wiring
problem-solving ability;Problem Solving
ADFS 2.0;Active Directory
Culture Engagement;Marketing Management
JavaCC;Java
RTVs and damages;Process Management
electrical troubleshooting;Electronics
Automotive Engineering;Mechanical Engineering
optimization modeling tools;Python
Import;International Trading
inventory operations;Inventory Management
Student Recruiting;Talent Acquisition and Recruitment
work-life balance;People Management
security guidelines;Security Protocols
ultrasonic frequency detection;Sound Engineering
design of experiments;R&D
Digital Enablement;Innovation
business management;Business Management
planning and co-ordination skills;Organizational Skills
Gucci Heritage;Passionate
crm systems;Customer Relationship Management
store standards;Operations Management
Womenswear Trend Analysis;Product Management
cucumber-jvm;Cucumber-JVM
mig welding;Product Management
L&D process;People Management
CRF;Data Analysis
high voltage equipment knowledge;Electrical Wiring
Metaverse;Virtual Reality
HR Policy;HR Analytics
Military Aviation;Military Occupational Specialties
leadership toolkits;Leadership
Central Management;Operations Management
Feature Engineering;Feature Engineering
power plant related test equipment;Power Engineering
disability benefits;Benefits Administration
fast-paced work;Resilience
sense of responsibility;Work Ethic
upselling;Business Strategy
security architecture;Security Protocols
KNIME;KNIME
Derivation rules;Calculus
C-level communication;Communication
bulldozer operation;Rigid Vehicles
Offshore Wind;Energy Management
education strategy;Teaching and Classroom Instruction
Full-Stack Development;Full-Stack Development
linear algebra;Calculus
logistics coordination;Supply Chain Management
database management;Database Administration
Gestion;People Management
computer proficiency;Computer Science
public outreach and community engagement;Public Relations
work pass;People Management
Economic Evaluation;Economics
Digital Medien;Digital Marketing
visual design;Graphic Design
landfill;Sustainability
fluent in English;English
agile development;Project Management
construction procurement;Construction
Brand Health Tracking;Brand Marketing
Swimwear;Fashion Design
Hazardous Materials;Materials Management
scissor lifts;Rigid Vehicles
expense management;Accounting
HootSuite;Social Media Marketing
topsides installation;Naval Engineering
internal resources;People Management
logical reasoning;Critical Thinking
rest services;REST APIs
OS X;Computer Science
Economics or equivalent;Economics
Luxury Foods;Culinary Arts and Professional Cooking
environmental laws;Sustaintability
communication and interpersonal skills;Interpersonal Skills
Crude Oil and Fuels;Oil and Gas Management
screen printing;Screenprinting
and leadership;Leadership
Human Resources Information Systems (HRIS);People Management
IRC;Communication
electricity markets;Energy Management
client book management;Business Administration
Political Campaigns;Politics
SLA monitoring;Legal Counseling
deadline management.;Time Management
seasonal contract;People Management
high-end products;Product Management
Project Verification;Project Management
Corporate Entrepreneurship;Entrepreneurship
Eclairage 3D;Graphic Design
Employee Benefits Design;Benefits Administration
business understanding;Business Management
Sales Channel Management;Sales
Italian and English fluency;Communication
Change Management;Change Management
Legal Translation;Translation
real-time demand;Business Planning
Tour operators;Tourism Management
project safety;Project Management
language skills (Italian;Italian
Makeup;Beauty Trends and Editorial Makeup
HR Management;HR Analytics
Compliance Training;Workplace Policy Conduct
CRM and meeting management;Customer Relationship Management
SSDC;System Administration
transaction reports;Reporting
tender evaluation;Business Planning
Crif Development;Business Process
Queue Management;Business Management
Site Safety;Cybersecurity
critical-thinking;Critical Thinking
Gitlab CI/CD;GitLab
Net Zero Qualification Development;Sustainability
refining operations;Drilling and Well Operations
Angular Material;User Experience Design
Customer Education;Customer Support
experience engaging with AHJs (Authority Having Jurisdiction);Legal Counseling
802.11i;Network Administration
Copywriting;Copywriting
b/s;Business and Finance
fluent english;English
Cubernet;Docker
commercial support;Entrepreneurship
A/B Testing;A/B Testing
Timeline;Time Management
OT Security guidance;OT
Air Emissions Verification;MEP Engineering
Website testing;Quality Control
Transport Innovation;Innovation
pipeline installation;MEP Engineering
Brand Activation;Brand Marketing
equal opportunity;People Management
internal engagement initiatives;People Management
well testing;Biochemistry
site acquisition;Mergers & Acquisitions
business information;Business Analysis
Vehicle Repair;Automotives
Management of human resources;People Management
future growth;Business Development
bid management;Bidding
safety standards and risk mitigation;Health and Safety
technical writing skills;Technical Writing
trend detection;Digital Marketing
line assessment;Operations Management
order management system;Order Processing
SAP Net Back;SAP Finacial Services
passion for luxury fashion;Apparel and Fashion Design
Talend Open;Talend
Bluebeam;Industrial Engineering
Car Acceptance;Automotives
operations planning;Operations Management
logistics transformations;Logistics
feedback;Reporting
software qa;Software Development
Labour Law;Labor Law Supervision
scenario-based financial options;Financial Services
Systems Implementation;System Administration
strategy development;Business Strategy
Strategy Design;Strategy Design
legal counseling;Legal Counseling
brand ambassador;Brand Marketing
maintenance management;Maintenance
policy and regulation;Workplace Policy Conduct
goal achievement;Productivity
Women's Fashion;Apparel and Fashion Design
Functional Programming;Operations Management
Direct Sales;Sales
IT Audit;IT Operations & Management
energy analysis;Energy Management
no touch freight;Rigid Vehicles
Lead Technician;Civil Engineering
WordPress-Design;WordPress
company driver;Driver License Ability
Microsoft Assembler;Microsoft Assembler
postgre;PostgresSQL
Environmental Monitoring;Sustaintability
Microsoft Virtualization;Microsoft Virtualization
Reuters Eikon;Trading
company values;Work Ethic
international regulations;International Relations
degree qualification;Well Educated
Investment Research;Financial Services
Solutions Architect;Web Design
lifting boxes);Physical Endurance and Skills
HR Partner;HR
Customer Disputes Management;Customer Relationship Management
report generation;Reporting
2-D Design;Graphic Design
traffic;Traffic Directing
Prolog;Prolog
Millinery;Fashion Design
integrated management systems;Business Management
Google Data Studio;Google Data Studio
28/28;Energy Management
Apache HTTP Server;Apache HTTP Server
Microsoft Data Studio;Microsoft Azure
sap maintenance;SAP
security incident response;Security Protocols
front end loaders;Frontend Development
regulatory affairs;Regulatory Compliance Law
pricing analysis;Marketing Management
preparing;Process Management
data protection;Data Privacy Compliance and Regulations Law
project structuring;Project Management
Web Monitoring;Web Development
Direct Marketing;Digital Marketing
local laws;Federal and State Law
communication technology integration;Communication
Displays;Product Management
SAP Warehouse Management;Warehouse Management
ppt;Microsoft PowerPoint
tax equity;Tax Analyst
math skills;Mathematics
Adobe Lightroom;Adobe Lightroom
large volume distribution experience;Trading
optimal control;Mathematics
oem business;Manufacturing
Leveraged Finance;Financial Services
agile software development methodology;Software Development
Gut Microbiome;Biology
Bamboo;Network Administration
onshore;Naval Engineering
ability to manage direct reports;Reporting
billing;Accounting
Interdisciplinary Research;Research
Microservices;Computer Science
international trips;International Relations
project construction proposals preparation;Project Management
safety regulations;Health and safety
EAS;Security Protocols
category disruption;Business Development
Business Process Management;Business Process
Probability Theory;Mathematics
and written communication skills;Communication
Spot Trading;Industrial Engineering
transportation management;Operations Management
project finance;Financial Services
Lectra;Textile Manufacturing and Production
Algorithms;Algorithms
independent;Autonomy
system development life cycle;Project Management
Windows Software;Software Development
ISO/IATF16949 knowledge;ISO 16949
customer orders;Process Management
solvency II;Budgeting
QHR;Health and Safety
B Corp;Quality Control
planning and control;Time Management
Design concept and development;Product Design
3DES;Graphic Design
nosql database;NoSQL
administrative duties;Accounting
negotiations;Negotiation
Connected and Fast collaborative working;Teamwork
Delivery Verification;Delivery Process
delivery focus;Delivery Process
distributed energy storage;Energy Management
sap lo;Logistics
forecasting or risk management;Risk Management
Certificate;Quality Control
Outlet Management;Business Management
Italian language (bonus);Italian
OT security;OT
renewable energy expertise;Energy Management
MongoDB;MongoDB
sales pipeline management;Sales
Psychological assessment;Psychology
Safety Advice;Health and Safety
Hydraulic Engineering;Hydraulic Engineering
six sigma methodologies;Project Management
Product Architecture;Product Management
budget drafting;Budgeting
Value Creation;Product Development
quality controlling;Quality Control
business sensitivity;Business Process
precision maintenance tooling;Maintenance
Adobe Visualforce;Adobe Creative Suite
application needs;People Management
electrical bias;Electrical Wiring
IT systems knowledge;IT Operations & Management
Training and development;People Management
Net Zero Development;Sustainability
Eclipse;IDE
Academic Research;Research
Balance sheet analysis;Accounting
Omnitures;Adobe Omniture
virtual devices;Virtual Machines
Envision;Project Management
Backend Development;Backend Development
